Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Overall_happiness_score,Num_of_kids_born_last_10_years,Looking_at_poles_results_int,Married_int,Gender_int,Voting_Time_int,Financial_agenda_matters_int,Most_Important_Issue_int,Age_group_int,Will_vote_only_large_party_int,Main_transportation_int,Occupation_int,Avg_environmental_importance_isNull,Avg_education_importance_isNull,Yearly_ExpensesK_isNull,Garden_sqr_meter_per_person_in_residancy_area_isNull,Num_of_kids_born_last_10_years_isNull,%Time_invested_in_work_isNull,Weighted_education_rank_isNull,Avg_monthly_expense_on_pets_or_plants_isNull,%_satisfaction_financial_policy_isNull,Political_interest_Total_Score_isNull,Avg_size_per_room_isNull,Avg_government_satisfaction_isNull,Occupation_Satisfaction_isNull,Avg_monthly_expense_when_under_age_21_isNull,Financial_balance_score_(0-1)_isNull,Avg_monthly_household_cost_isNull,Yearly_IncomeK_isNull,%Of_Household_Income_isNull,Number_of_valued_Kneset_members_isNull,AVG_lottary_expanses_isNull,Overall_happiness_score_isNull,Phone_minutes_10_years_isNull,Avg_Residancy_Altitude_isNull,Avg_monthly_income_all_years_isNull,Avg_Satisfaction_with_previous_vote_isNull,Last_school_grades_isNull,Number_of_differnt_parties_voted_for_isNull
Blues,0.333333333333,1.36865680242,1.18299170302,0.616620987188,0.0372911012908,0.106955793122,0.165504760911,0.761345545565,0.385233346916,0.0356083306843,0.395172961429,0.887555365052,0.981565875938,-0.904541466753,-0.10098291397,-1.09327022252,0.226632869557,-0.776425091859,0.293920277051,0.879846607816,0.225293233708,0.714285714286,0.000804935150205,-1.29566278449,0.636363636364,-1.3766278309,0.1,1,1,0,0,0,0.571428571429,1.0,1.84615793341,0.666666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purples,0.888888888889,0.753099134313,0.730457776921,0.532951395223,0.167468327901,0.147335904997,0.498142550394,0.767980492132,0.269741635449,0.391342802811,0.35858101925,0.250892984712,0.495925114294,0.316631768577,0.205564455993,0.544682955696,0.246174244779,0.34165267704,0.145383423543,0.242340898435,0.129597883173,0.857142857143,0.000804935150205,0.681341274197,0.909090909091,0.928269613821,0.0,0,1,0,1,1,0.142857142857,1.0,0.0335335510733,0.333333333333,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purples,0.888888888889,-0.540685100111,-0.507224909465,0.357093949861,-0.377696672769,0.370830409949,0.521819777988,0.584090487684,0.0353553415651,0.826954163117,0.264358530149,0.999428489784,0.2446947429,0.528079192148,-0.281489650763,0.370596547378,0.169731034257,0.519141081514,0.172219047273,0.982659821404,0.0141650241054,0.571428571429,-0.804130215055,0.384860388012,0.545454545455,0.0590578263488,0.0,0,1,0,0,1,1.0,1.0,0.0335335510733,0.666666666667,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greys,0.0,-0.840852157245,-0.677192205447,0.316293783616,0.166292161339,0.858117848704,0.937094490523,0.851753264923,0.184991668412,0.346984775261,0.479805777966,0.438634090584,0.276556357229,0.368422673127,0.212193546941,0.148549356089,0.245994068991,0.385502164558,0.143667128271,0.900853892218,0.00398254181196,0.0,0.805740085355,-0.0468960677764,0.0,-0.751504884272,0.0,0,1,0,0,1,0.714285714286,1.0,-1.77909083127,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Browns,0.222222222222,-0.813544918386,-0.601719829447,0.320005516328,0.681760728754,0.800705716603,0.790388445322,0.225877300052,0.679335235358,0.358028172365,0.768846220892,0.269895699386,0.130469314542,0.07216307646,0.658305259871,0.205568960382,0.331278206092,0.131203146026,0.0608129496251,0.734800605413,0.00465038098576,0.714285714286,-0.804130215055,0.11236615916,0.272727272727,-0.0374090928608,0.0,0,1,1,0,1,0.571428571429,0.0,0.0335335510733,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greens,0.222222222222,-0.604318766497,-0.631747470735,0.348444552448,-0.873179608571,0.542872515093,0.243632430198,0.968655012679,0.309193474055,0.983224510114,0.607033359496,0.96842406058,0.978963686436,0.596443788582,-0.742680426082,0.645555054108,0.112546712942,0.575676446499,0.304441507128,0.743553104801,0.0114842213125,1.0,0.805740085355,0.958841275371,0.727272727273,1.31922123246,0.0,0,1,1,1,0,0.0,0.5,0.0335335510733,0.666666666667,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blues,0.333333333333,1.41201814601,-0.301664093987,0.622514871894,-2.1017991743,0.501934257585,0.903133134587,0.650575110473,0.518760207087,0.856934599799,0.681246430759,0.798828404058,0.719205912692,-2.05447460613,-2.30821696034,-3.1525442501,0.0212495944691,-2.04011590551,0.781350085977,0.958312211809,0.233025466269,0.714285714286,0.000804935150205,-3.48775726407,0.454545454545,-3.80509801219,0.0,1,1,1,0,0,0.571428571429,0.0,1.84615793341,0.666666666667,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greys,0.111111111111,-0.834969546589,-0.655319044582,0.317093376666,0.344188901413,0.432526637205,0.063420989574,0.939153708274,0.3909139043,0.051142626721,0.173912420363,0.250750107158,0.663737698985,-0.680678635546,0.224500330092,-0.618896173493,0.273995376029,-0.557680918309,0.186162256605,0.526509586084,0.00412203740254,0.0,1.61067523556,-0.709311935399,0.272727272727,-0.52890711597,0.0,0,1,0,0,0,0.714285714286,1.0,-1.77909083127,0.333333333333,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greens,0.111111111111,-0.35842308039,-0.518538613302,0.381867889998,-1.02274959024,0.0365758876881,0.831453558544,0.317111653495,0.910585900546,0.961247384604,0.453031379223,0.645949421346,0.340471836732,0.572681337173,-0.888541078482,0.582809934962,0.0975847448848,0.556071458079,0.322232301201,0.592206001306,0.0233983193476,1.0,-0.804130215055,0.908194211211,1.0,1.28166148112,0.4,0,1,0,0,0,0.0,0.5,0.0335335510733,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinks,0.444444444444,0.0915097888297,0.879900028335,0.443024953796,-9.46189210902e-15,0.87597743168,0.844140309854,0.423126169162,0.402794997583,0.0100582615137,0.725515511223,0.323474782112,0.802739655968,1.90470059837,2.44689883148,2.09386116748,0.674595077586,1.58897409847,0.291067450319,0.410344035705,0.0560598335571,0.857142857143,-0.804130215055,1.68625130925,0.272727272727,0.0473620743034,0.0,0,0,0,1,0,0.142857142857,0.5,0.0335335510733,0.333333333333,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
