Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Overall_happiness_score,Num_of_kids_born_last_10_years,Looking_at_poles_results_int,Married_int,Gender_int,Voting_Time_int,Financial_agenda_matters_int,Most_Important_Issue_int,Age_group_int,Will_vote_only_large_party_int,Main_transportation_int,Occupation_int,Avg_environmental_importance_isNull,Avg_education_importance_isNull,Yearly_ExpensesK_isNull,Garden_sqr_meter_per_person_in_residancy_area_isNull,Num_of_kids_born_last_10_years_isNull,%Time_invested_in_work_isNull,Weighted_education_rank_isNull,Avg_monthly_expense_on_pets_or_plants_isNull,%_satisfaction_financial_policy_isNull,Political_interest_Total_Score_isNull,Avg_size_per_room_isNull,Avg_government_satisfaction_isNull,Occupation_Satisfaction_isNull,Avg_monthly_expense_when_under_age_21_isNull,Financial_balance_score_(0-1)_isNull,Avg_monthly_household_cost_isNull,Yearly_IncomeK_isNull,%Of_Household_Income_isNull,Number_of_valued_Kneset_members_isNull,AVG_lottary_expanses_isNull,Overall_happiness_score_isNull,Phone_minutes_10_years_isNull,Avg_Residancy_Altitude_isNull,Avg_monthly_income_all_years_isNull,Avg_Satisfaction_with_previous_vote_isNull,Last_school_grades_isNull,Number_of_differnt_parties_voted_for_isNull
Yellows,0.222222222222,1.45637808515,0.28236859675,0.628544490563,-1.31039250176,0.68404184514,0.792125363846,0.0821010983744,0.130148717464,0.636012083603,0.868247799628,0.211030147164,0.521522600829,-1.04949628121,-1.40489828097,-1.36049223111,0.0718090414787,-0.922031655393,0.402773322506,0.921441051045,0.241070769125,0.428571428571,-0.804130215055,-1.27890490094,0.545454545455,-0.791634967622,0.1,1,1,1,0,0,0.285714285714,1.0,1.84615793341,0.666666666667,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reds,0.0,-0.0447814753529,-0.0350624508483,0.424499582326,-0.0285716578499,0.999044157323,0.152535372789,0.136094200312,0.60118916395,0.274731309124,0.110238653425,0.0774396342335,0.0400454558799,-0.446907481816,-0.0951829234733,-0.304261610152,0.217053787727,-0.336527980594,0.174668178603,0.246925321537,0.0446831889072,0.142857142857,-0.804130215055,-0.215922229314,0.272727272727,0.255973219782,0.0,0,1,1,1,1,0.428571428571,0.0,-1.77909083127,0.333333333333,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purples,0.888888888889,-0.674317494843,-0.57372244543,0.338929984858,-0.149382172961,0.236373642311,0.358357009756,0.789197345964,0.741917618659,0.139033669269,0.49080656862,0.68166880983,0.834780572267,-0.158915389873,-0.167041124563,-0.138480732782,0.20002074419,-0.0733089053628,0.164195184447,0.644010391265,0.00885978521639,0.857142857143,0.000804935150205,-0.0921052208137,0.818181818182,0.0843765083833,0.2,0,1,0,1,0,0.142857142857,0.5,0.0335335510733,0.666666666667,0.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purples,0.0,0.231303953122,0.177400961936,0.462026456485,-0.0711316646803,0.0213339438299,0.564034911076,0.216352495196,0.410644890592,0.738114979225,0.704918101648,0.239319902843,0.609329144187,0.287095513452,-0.0258659972846,0.150649778215,0.210973867957,0.316533171589,0.137593874996,0.95686041921,0.0690678431227,0.857142857143,0.000804935150205,0.0808429819163,0.545454545455,-0.283872825038,0.1,0,1,1,0,1,0.142857142857,1.0,0.0335335510733,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blues,0.444444444444,2.24504513372,1.02301292478,0.735743951425,-0.922688522007,0.107550907438,0.377482727816,0.0695143524534,0.791323068429,0.458618287972,0.513726021385,0.252036005144,0.758397428406,-3.82681151352,-1.45152209652,-3.79430555629,0.107476075245,0.014646893123,0.662858559208,0.789935696787,0.406899108434,0.571428571429,1.61067523556,-3.71190417061,0.545454545455,-1.6714397562,0.0,1,1,1,1,1,1.0,0.0,1.84615793341,0.666666666667,0.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Browns,0.333333333333,-0.753868156288,-0.650145362044,0.328117072066,-0.262281108834,0.186937127804,0.11710943189,0.227972295595,0.296814530626,0.173556093538,0.196030208743,0.839262751822,0.340290711301,-0.269156179251,-0.290949281735,-0.412433017141,0.184732183389,-0.172927142724,0.204921308733,0.192424313965,0.00628995190434,0.428571428571,1.61067523556,-0.462258318007,0.0909090909091,-0.520254024672,0.0,0,1,0,0,0,0.285714285714,0.5,0.0335335510733,0.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Browns,0.444444444444,-0.443107130196,-0.446587323909,0.370357222094,-0.431857478737,0.308778027998,0.0670427121377,0.143850156369,0.188531063947,0.618713618398,0.815470805871,0.883411915988,0.374721255085,-0.378272379891,-0.468613929489,-0.615826750254,0.162910434076,-0.272908881126,0.250386178937,0.0591166638195,0.0188215955739,0.714285714286,0.000804935150205,-0.693728693633,0.272727272727,-0.809810034433,0.3,0,1,1,0,0,0.571428571429,0.5,0.0335335510733,1.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reds,0.0,0.963265134574,1.1119854132,0.561518180104,0.500746555138,0.520805375309,0.348500277999,0.100559076149,0.554563200523,0.740888475036,0.193891689967,0.850692956137,0.650732239553,0.0155697356931,0.477615954968,0.0483606179899,0.299886162814,0.0816362255807,0.0911274815482,0.525129306431,0.159314749857,0.285714285714,-1.60906536526,-0.0716484345382,0.454545454545,-0.306213937428,0.0,0,1,1,0,1,0.857142857143,1.0,-1.77909083127,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purples,0.666666666667,0.322912798452,0.42989993888,0.474478376275,0.360013753818,0.136401511936,0.124376305866,0.993765737892,0.743071190057,0.623187520535,0.771305768261,0.348049721389,0.943905635704,-0.0564966099511,0.332936817719,0.215329399246,0.276559324081,0.0180350560266,0.123987210461,0.527473881772,0.0783275869399,0.428571428571,-0.804130215055,0.310394603321,0.636363636364,0.681060247417,0.3,0,1,0,1,1,0.285714285714,0.0,0.0335335510733,0.666666666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Browns,0.555555555556,-0.0581482716556,-0.309201624717,0.422682702365,-0.88477715169,0.625855955373,0.0295032353331,0.244220016881,0.324301089996,0.536509617379,0.84017258275,0.729389912845,0.19909569102,-0.521940239413,-0.921029580384,-0.886302502815,0.111348425916,-0.406743618573,0.327269072563,0.202949807978,0.0436368227934,1.0,-0.804130215055,-0.93789641581,0.454545454545,-1.00524753631,0.0,0,1,1,0,1,0.0,0.0,0.0335335510733,0.666666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
