Number_of_valued_Kneset_members,Yearly_IncomeK,Overall_happiness_score,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Weighted_education_rank,Vote,Number_of_valued_Kneset_members_isNull,Yearly_IncomeK_isNull,Overall_happiness_score_isNull,Avg_Satisfaction_with_previous_vote_isNull,Garden_sqr_meter_per_person_in_residancy_area_isNull,Weighted_education_rank_isNull,Most_Important_Issue_int,Will_vote_only_large_party_int
0.909090909091,-3.28224336443e-15,1.2931548525,-0.275504142134,-0.748894593028,240.191793783,Greens,0,1,0,0,0,0,0,1
0.818181818182,-3.6399174354,-3.09668818389,1.2759726538,-2.15761060097,687.578821827,Blues,0,0,0,0,0,0,1,2
0.363636363636,1.36984942376,1.32924497486,1.91023192803,-1.58204444804,347.337344487,Yellows,0,0,0,0,0,0,2,2
0.0909090909091,-0.583154335927,-0.461351595148,-0.853516006924,-0.360351864095,199.948471069,Browns,0,0,0,0,0,0,7,1
0.181818181818,-0.695897546993,0.0745153643333,-0.453271993332,0.0491375821143,162.144176247,Oranges,0,0,0,0,0,0,5,0
0.363636363636,-0.720416186828,2.10051605131,1.69352177944,1.04095323251,270.999243285,Yellows,0,0,0,0,0,0,7,2
0.272727272727,0.0831645085412,-0.0377911631379,1.09657755543,0.632996859401,56.8414761204,Browns,0,0,0,0,0,0,7,1
0.545454545455,0.984847127299,-3.99033029294,2.88041274376,-1.17137348542,531.835623006,Blues,0,0,0,0,0,0,7,2
0.0,-0.471463135299,-0.743875569005,-0.0724281515485,-0.600680697633,229.325824223,Browns,0,0,0,0,0,0,2,1
0.454545454545,0.645744438993,1.18790382301,-0.822512401009,-0.620370225508,219.324099838,Greens,0,0,0,0,0,0,7,1
0.454545454545,0.652037492485,1.27671909725,-0.604037862226,-0.671662372467,230.768056721,Greens,0,0,0,0,0,0,2,1
0.636363636364,1.39405967525,-1.04024563327,1.46789897222,1.31940035839,171.514241418,Yellows,0,0,0,0,0,0,7,2
0.272727272727,-0.399770028896,-0.605166599788,-0.729610338432,-0.54219713543,213.438375891,Browns,0,0,0,0,0,0,1,1
0.0909090909091,-0.69607908844,-0.810032907176,1.22492035891,-0.788179339431,263.031951292,Browns,0,0,0,0,0,0,2,1
0.545454545455,0.836922547108,1.58204856246,-0.44170943524,-0.623464967581,249.5054925,Greens,0,0,0,0,0,0,7,1
0.727272727273,0.756497727369,1.28678840023,-0.929409833681,-0.690125830513,233.940086159,Greens,0,0,0,0,0,0,7,1
0.636363636364,0.635692468784,1.34859093346,-1.00039886078,-0.96547036417,267.4196254,Greens,0,0,0,0,0,0,0,1
0.545454545455,-0.100508507763,-0.468591599774,-0.624935726857,-0.218647577745,158.829154688,Purples,0,0,0,0,0,0,2,1
0.454545454545,-0.702656176429,-0.68293977563,0.739293518141,-0.47159265422,210.695886717,Browns,0,0,0,0,0,0,0,1
0.181818181818,0.161616249803,0.0248384277622,0.383072410845,0.746621331781,45.7013244114,Browns,0,0,0,0,0,0,7,1
0.181818181818,-0.19739311933,0.121177647643,0.884543229659,0.328480323033,98.6381728761,Reds,0,0,0,0,0,0,3,0
0.545454545455,-0.271956350206,0.518111565144,0.164168388082,0.368842821132,113.772632157,Purples,0,0,0,0,0,0,4,1
0.363636363636,-0.559955697806,-0.873977686812,0.575567560408,-0.766227967093,256.867300386,Browns,0,0,0,0,0,0,0,1
0.727272727273,0.507948906055,-0.0331300724269,-0.947632167514,0.221019692899,70.1646899224,Purples,0,0,0,0,0,0,4,1
0.454545454545,0.192864801687,-1.25433266206,-0.0276651961928,-0.0701410689255,191.496809422,Oranges,0,0,0,0,0,0,6,0
0.727272727273,-3.28224336443e-15,-0.163408339518,-0.266016077733,0.205790002437,89.2143955883,Purples,0,1,0,0,0,0,0,1
0.909090909091,0.774290436978,1.62993111727,-0.647099957639,-0.625407674449,252.917572279,Greens,0,0,0,0,0,0,1,1
0.272727272727,-0.379901273326,-0.222623778016,-0.351540461689,0.306853116038,121.519724307,Reds,0,0,0,0,0,0,3,0
0.545454545455,-1.41582953871,-1.32779561604,-1.25720897779,-1.39663585999,386.543176998,Yellows,0,0,0,0,0,0,2,2
0.545454545455,0.316704797169,1.28804551432,-0.678377985887,-0.902659211851,258.298682389,Greens,0,0,0,0,0,0,2,1
0.181818181818,-0.261320962603,-0.0596457583062,-0.502861485184,0.51021315928,95.4706614544,Reds,0,0,0,0,0,0,3,0
0.454545454545,-0.192412119047,0.624239876225,-0.100513316767,-0.377053414058,179.398960831,Purples,0,0,0,0,0,0,7,1
0.181818181818,-0.538402717637,-0.898158597886,-0.414388710488,-0.565196204063,237.08877291,Browns,0,0,0,0,0,0,7,1
0.636363636364,0.555902367612,-1.91356313319,2.69451887736,0.757092336889,228.890050507,Blues,0,0,0,0,0,0,2,2
0.818181818182,-0.246640078093,1.38872914309,0.340330921317,-0.189118938571,211.803229971,Purples,0,0,0,0,0,0,1,1
0.636363636364,0.65099898087,1.55729999784,-1.07986953799,-0.617009286939,245.746970796,Greens,0,0,0,0,0,0,4,1
0.272727272727,-0.662394085304,-0.722623142417,-0.431148406631,-0.59635934279,238.175466532,Browns,0,0,0,0,0,0,4,1
0.636363636364,0.704729397926,1.6874860406,0.141473909739,-0.721952082353,266.23282829,Greens,0,0,0,0,0,0,4,1
0.818181818182,0.658461855495,1.57596772612,-0.675429014228,-0.927219516749,278.354073489,Greens,0,0,0,0,0,0,1,1
0.181818181818,0.233247800272,-0.711639867748,-0.925290082388,0.232165283042,119.213349205,Greys,0,0,0,0,0,0,5,0
0.0,-0.616814589364,-0.867834733575,0.956722482056,-0.587155561497,241.735802439,Browns,0,0,0,0,0,0,2,1
1.0,0.538586923259,1.44368038513,0.22053088371,-0.742875087976,249.83665906,Greens,0,0,0,0,0,0,0,1
0.363636363636,-1.90222132074,-0.484545429087,2.55869140023,-2.02183997692,452.349347661,Blues,0,0,0,0,0,0,2,2
0.545454545455,1.1812151568,1.56781757093,-0.276596255964,-0.697558057883,261.509296921,Greens,0,0,0,1,0,0,2,1
0.545454545455,1.98372413096,-0.127397975785,1.75337908339,1.5460291307,305.134108748,Blues,0,0,1,0,0,0,4,2
1.0,-0.613963638835,-0.185834639194,-0.502484193235,-0.0661371494891,167.4760243,Purples,0,0,0,0,0,0,0,1
0.181818181818,-0.841220367835,-0.748687982424,-0.575111028821,-0.811297592484,270.765070367,Browns,0,0,0,0,0,0,7,1
0.636363636364,0.248664543353,0.139064152998,-0.48513534672,0.118853736084,89.531898548,Purples,0,0,0,0,0,0,4,1
0.363636363636,-3.28224336443e-15,-3.6120968536,1.37780396933,-2.08465081935,627.850401214,Blues,0,1,0,0,0,0,2,2
0.727272727273,0.474353974497,0.300940058448,-0.922413989459,0.605647194282,32.6281447914,Purples,0,0,0,0,0,0,4,1
0.636363636364,-0.344581054397,0.681477358749,-0.298220585838,0.204805746384,138.345001879,Purples,0,0,0,0,0,0,2,1
