Number_of_valued_Kneset_members,Yearly_IncomeK,Overall_happiness_score,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Weighted_education_rank,Vote,Number_of_valued_Kneset_members_isNull,Yearly_IncomeK_isNull,Overall_happiness_score_isNull,Avg_Satisfaction_with_previous_vote_isNull,Garden_sqr_meter_per_person_in_residancy_area_isNull,Weighted_education_rank_isNull,Most_Important_Issue_int,Will_vote_only_large_party_int
0.909090909091,0.628073263594,1.28943854925,-0.0537739832764,-1.09587083637,278.660226058,Greens,0,0,0,0,0,0,1,1
0.363636363636,-2.17984929124,-0.30909123999,3.5623924349,0.323935604146,297.032158577,Blues,0,0,0,0,0,0,7,2
0.272727272727,-0.574414735707,-0.722337564462,-0.543398441658,-0.642228151093,237.881983798,Browns,0,0,0,0,0,0,1,1
0.454545454545,-0.101067291793,-0.544555900016,0.734310804269,0.361035113189,113.703777341,Purples,0,0,0,0,0,0,4,1
0.363636363636,-0.0758518428421,0.260699240219,-1.1195152095,0.0491447158091,116.359011862,Reds,0,0,0,0,0,0,3,0
0.727272727273,0.2463812082,-0.11208544752,0.972401367386,-0.117612960252,120.81624321,Purples,0,0,0,0,0,0,4,1
0.454545454545,0.807259710124,1.78893325717,-0.102865298313,-0.494537702001,254.820307431,Greens,0,0,0,0,0,0,4,1
1.0,-0.504042601312,-0.213693224724,-1.02033461361,-0.264065336531,178.196162512,Purples,0,0,0,0,0,0,0,1
0.0909090909091,-0.821703458408,-0.926739370033,-0.181396157978,0.183752767117,201.217119757,Oranges,0,0,0,0,0,0,5,0
0.454545454545,-0.479358485166,-0.161795005223,-0.847983097038,0.460648983597,120.944735856,Reds,0,0,0,0,0,0,3,0
0.363636363636,-4.19004139221,-1.75508462128,2.26848325762,-2.18089878441,663.673876961,Blues,0,0,0,0,0,0,7,2
0.636363636364,0.632308672437,1.31453982145,-0.715957060521,-1.02325108913,271.837096094,Greens,0,0,0,0,0,0,2,1
0.272727272727,-0.272352702696,-0.671435817845,0.846910972688,0.850542455961,126.035839965,Greys,0,0,0,0,0,0,3,0
0.181818181818,-0.651597861863,-0.851799041201,-0.725526563368,-0.711606826543,254.933796223,Browns,0,0,0,0,0,0,7,1
0.363636363636,2.02615481996,-0.312399229352,-0.80376210712,2.4681400756,276.603492811,Pinks,0,0,0,0,0,0,4,1
